Source,Target,Weight,Type
168,21,0.026115343,undirected
168,23,0.035908596,undirected
168,24,0.0021762786,undirected
169,0,0.018498368,undirected
169,1,0.010881393,undirected
169,3,0.065288357,undirected
169,4,0.033732318,undirected
169,5,0.022850925,undirected
169,7,0.057671382,undirected
169,8,0.0054406964,undirected
169,9,0.0054406964,undirected
169,11,0.035908596,undirected
169,12,0.033732318,undirected
169,13,0.027203482,undirected
169,15,0.0032644178,undirected
169,17,0.0021762786,undirected
169,18,0.0065288357,undirected
169,19,0.0054406964,undirected
169,20,0.011969532,undirected
169,21,0.01523395,undirected
169,23,0.044613711,undirected
170,0,0.037280702,undirected
170,3,0.059210526,undirected
170,4,0.025219298,undirected
170,5,0.019736842,undirected
170,7,0.058114035,undirected
170,9,0.010964912,undirected
170,11,0.024122807,undirected
170,12,0.0054824561,undirected
170,13,0.074561404,undirected
170,15,0.023026316,undirected
170,18,0.014254386,undirected
170,19,0.0032894737,undirected
170,20,0.0098684211,undirected
170,21,0.015350877,undirected
170,23,0.018640351,undirected
171,0,0.050273224,undirected
171,1,0.012021858,undirected
171,2,0.028415301,undirected
171,3,0.084153005,undirected
171,5,0.040437158,undirected
171,6,0.0010928962,undirected
171,7,0.034972678,undirected
171,9,0.013114754,undirected
171,11,0.0010928962,undirected
171,12,0.034972678,undirected
171,13,0.0076502732,undirected
171,15,0.010928962,undirected
171,16,0.0043715847,undirected
171,17,0.0098360656,undirected
171,21,0.0043715847,undirected
171,23,0.045901639,undirected
172,0,0.042162162,undirected
172,3,0.099459459,undirected
172,4,0.017297297,undirected
172,5,0.047567568,undirected
172,7,0.051891892,undirected
172,9,0.0032432432,undirected
172,11,0.037837838,undirected
172,12,0.0010810811,undirected
172,13,0.024864865,undirected
172,15,0.0075675676,undirected
172,16,0.0075675676,undirected
172,21,0.022702703,undirected
172,23,0.028108108,undirected
173,0,0.028108108,undirected
173,3,0.032432432,undirected
173,4,0.022702703,undirected
173,5,0.038918919,undirected
173,6,0.0010810811,undirected
173,7,0.047567568,undirected
173,8,0.034594595,undirected
173,11,0.035675676,undirected
173,13,0.037837838,undirected
173,14,0.0064864865,undirected
173,15,0.0054054054,undirected
173,21,0.062702703,undirected
173,23,0.047567568,undirected
